system,node+AF8-count,files+AF8-on+AF8-network,payload+AF8-size,upload+AF8-ms,download+AF8-total+AF8-ms
our+AF8-system,50,306,262144,152.493666,85.976614
our+AF8-system,50,307,262144,138.267666,89.729959
our+AF8-system,50,308,262144,154.253,99.909263
our+AF8-system,50,309,262144,143.071,101.893736
our+AF8-system,50,310,262144,120.233666,89.757008
our+AF8-system,50,311,262144,91.577333,89.678846
our+AF8-system,50,312,262144,68.31,105.107194
our+AF8-system,50,313,262144,233.247,94.701506
our+AF8-system,50,314,262144,78.900333,84.4853
our+AF8-system,50,315,262144,84.092333,101.056264
our+AF8-system,50,316,262144,106.779333,79.79851
our+AF8-system,50,317,262144,116.462,104.869383
our+AF8-system,50,318,262144,91.08,118.893333
our+AF8-system,50,319,262144,153.456,98.309253
our+AF8-system,50,320,262144,131.031333,113.116118
our+AF8-system,50,321,262144,174.495666,113.547897
our+AF8-system,50,322,262144,143.041,100.926097
our+AF8-system,50,323,262144,150.158333,97.499289
our+AF8-system,50,324,262144,127.804,118.638934
our+AF8-system,50,325,262144,139.973333,106.597184
our+AF8-system,50,326,262144,177.138333,97.856385
our+AF8-system,50,327,262144,171.440333,74.507957
our+AF8-system,50,328,262144,138.726666,119.515716
our+AF8-system,50,329,262144,127.153,85.21223
our+AF8-system,50,330,262144,129.533333,93.917726
our+AF8-system,50,331,262144,86.965666,112.677367
our+AF8-system,50,332,262144,93.747666,120.347438
our+AF8-system,50,333,262144,105.837333,90.591326
our+AF8-system,50,334,262144,142.366666,74.892717
our+AF8-system,50,335,262144,127.981,70.159002
our+AF8-system,50,336,262144,123.262333,114.337166
our+AF8-system,50,337,262144,93.930333,98.997879
our+AF8-system,50,338,262144,104.708,90.326195
our+AF8-system,50,339,262144,121.778,115.538614
our+AF8-system,50,340,262144,98.643333,90.069727
our+AF8-system,50,341,262144,104.074666,91.79749
our+AF8-system,50,342,262144,93.976,100.378714
our+AF8-system,50,343,262144,99.138333,87.251137
our+AF8-system,50,344,262144,177.853666,108.370367
our+AF8-system,50,345,262144,120.558,88.038104
our+AF8-system,50,346,262144,135.679,91.746279
our+AF8-system,50,347,262144,131.084,86.635614
our+AF8-system,50,348,262144,123.832,95.1309
our+AF8-system,50,349,262144,139.251,90.954246
our+AF8-system,50,350,262144,132.612,86.187776
our+AF8-system,50,351,262144,141.583,83.649045
our+AF8-system,50,352,262144,137.191666,100.694033
our+AF8-system,50,353,262144,156.542,82.425092
our+AF8-system,50,354,262144,118.483,94.946979
our+AF8-system,50,355,262144,119.646333,102.696193
our+AF8-system,50,356,262144,75.395666,87.178926
our+AF8-system,50,357,262144,87.298666,100.920472
our+AF8-system,50,358,262144,110.796,84.851426
our+AF8-system,50,359,262144,116.397666,88.355996
our+AF8-system,50,360,262144,94.813,99.234874
our+AF8-system,50,361,262144,119.566666,72.147449
our+AF8-system,50,362,262144,119.899,86.259
our+AF8-system,50,363,262144,143.555333,98.511019
our+AF8-system,50,364,262144,139.181666,89.617978
our+AF8-system,50,365,262144,147.965666,91.706631
our+AF8-system,50,366,262144,142.375666,97.768286
our+AF8-system,50,367,262144,148.639,95.92696
our+AF8-system,50,368,262144,166.021666,94.889048
our+AF8-system,50,369,262144,161.519333,98.455981
our+AF8-system,50,370,262144,143.387333,85.904164
our+AF8-system,50,371,262144,155.113333,89.21895
our+AF8-system,50,372,262144,115.521666,71.85351
our+AF8-system,50,373,262144,92.079666,100.428923
our+AF8-system,50,374,262144,118.379333,123.761799
our+AF8-system,50,375,262144,133.086666,101.879102
our+AF8-system,50,376,262144,116.981666,100.391175
our+AF8-system,50,377,262144,146.839333,81.846388
our+AF8-system,50,378,262144,116.765666,114.653363
our+AF8-system,50,379,262144,133.419666,82.905573
our+AF8-system,50,380,262144,136.906666,102.273727
our+AF8-system,50,381,262144,167.066666,123.242155
our+AF8-system,50,382,262144,177.115,99.004139
our+AF8-system,50,383,262144,185.888666,99.161826
our+AF8-system,50,384,262144,186.934666,90.329801
our+AF8-system,50,385,262144,175.306666,102.0958
our+AF8-system,50,386,262144,139.004666,72.028221
our+AF8-system,50,387,262144,85.569333,102.95652
our+AF8-system,50,388,262144,124.395333,122.714444
our+AF8-system,50,389,262144,141.145333,101.567196
our+AF8-system,50,390,262144,128.339333,113.437967
our+AF8-system,50,391,262144,197.004333,91.767256
our+AF8-system,50,392,262144,123.538333,99.874481
our+AF8-system,50,393,262144,175.105666,122.278143
our+AF8-system,50,394,262144,144.262666,88.318686
our+AF8-system,50,395,262144,136.683,100.672873
our+AF8-system,50,396,262144,153.913,110.392249
our+AF8-system,50,397,262144,222.696,107.169517
our+AF8-system,50,398,262144,196.547333,90.012574
our+AF8-system,50,399,262144,156.271333,87.745632
our+AF8-system,50,400,262144,208.737333,98.509545
our+AF8-system,50,401,262144,122.652333,80.892991
our+AF8-system,50,402,262144,110.406666,92.950015
our+AF8-system,50,403,262144,102.840333,104.649561
our+AF8-system,50,404,262144,111.905,98.353657
our+AF8-system,50,405,262144,161.419333,79.031219
our+AF8-system,50,406,262144,133.185333,99.992603
our+AF8-system,50,407,262144,200.808333,97.931886
our+AF8-system,50,408,262144,173.346,99.334119
our+AF8-system,50,409,262144,160.032,90.226638
our+AF8-system,50,410,262144,178.276666,105.952274
our+AF8-system,50,411,262144,211.658,104.83788
our+AF8-system,50,412,262144,198.067333,105.953072
our+AF8-system,50,413,262144,139.952666,99.29
our+AF8-system,50,414,262144,289.118333,93.067453
our+AF8-system,50,415,262144,141.758333,101.438885
our+AF8-system,50,416,262144,93.071,117.790783
